Schuljahr,Stufe,Schulgemeinde,Geschlecht,Nationalitaet,Anzahl
2007/2008,Kindergartenstufe,Horn VSG,männlich,Schweiz,10
2007/2008,Kindergartenstufe,Horn VSG,weiblich,Schweiz,15
2007/2008,Kindergartenstufe,Hüttlingen PSG,männlich,Ausland,3
2007/2008,Kindergartenstufe,Hüttlingen PSG,männlich,Schweiz,3
2007/2008,Kindergartenstufe,Hüttlingen PSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Hüttlingen PSG,weiblich,Schweiz,13
2007/2008,Kindergartenstufe,Hüttwilen PSG,männlich,Schweiz,12
2007/2008,Kindergartenstufe,Hüttwilen PSG,weiblich,Schweiz,12
2007/2008,Kindergartenstufe,Kemmental VSG,männlich,Schweiz,25
2007/2008,Kindergartenstufe,Kemmental VSG,weiblich,Schweiz,21
2007/2008,Kindergartenstufe,Kesswil PSG,männlich,Ausland,3
2007/2008,Kindergartenstufe,Kesswil PSG,männlich,Schweiz,8
2007/2008,Kindergartenstufe,Kesswil PSG,weiblich,Schweiz,9
2007/2008,Kindergartenstufe,Kreuzlingen PSG,männlich,Ausland,75
2007/2008,Kindergartenstufe,Kreuzlingen PSG,männlich,Schweiz,74
2007/2008,Kindergartenstufe,Kreuzlingen PSG,weiblich,Ausland,69
2007/2008,Kindergartenstufe,Kreuzlingen PSG,weiblich,Schweiz,57
2007/2008,Kindergartenstufe,Langrickenbach PSG,männlich,Schweiz,14
2007/2008,Kindergartenstufe,Langrickenbach PSG,weiblich,Ausland,5
2007/2008,Kindergartenstufe,Langrickenbach PSG,weiblich,Schweiz,12
2007/2008,Kindergartenstufe,Lommis PSG,männlich,Ausland,1
2007/2008,Kindergartenstufe,Lommis PSG,männlich,Schweiz,15
2007/2008,Kindergartenstufe,Lommis PSG,weiblich,Schweiz,17
2007/2008,Kindergartenstufe,Mammern PG,männlich,Ausland,3
2007/2008,Kindergartenstufe,Mammern PG,männlich,Schweiz,1
2007/2008,Kindergartenstufe,Mammern PG,weiblich,Ausland,3
2007/2008,Kindergartenstufe,Mammern PG,weiblich,Schweiz,2
2007/2008,Kindergartenstufe,Märstetten PSG,männlich,Ausland,2
2007/2008,Kindergartenstufe,Märstetten PSG,männlich,Schweiz,13
2007/2008,Kindergartenstufe,Märstetten PSG,weiblich,Ausland,2
2007/2008,Kindergartenstufe,Märstetten PSG,weiblich,Schweiz,11
2007/2008,Kindergartenstufe,Märwil PSG,männlich,Ausland,2
2007/2008,Kindergartenstufe,Märwil PSG,männlich,Schweiz,15
2007/2008,Kindergartenstufe,Märwil PSG,weiblich,Schweiz,27
2007/2008,Kindergartenstufe,Matzingen PSG,männlich,Ausland,10
2007/2008,Kindergartenstufe,Matzingen PSG,männlich,Schweiz,27
2007/2008,Kindergartenstufe,Matzingen PSG,weiblich,Ausland,9
2007/2008,Kindergartenstufe,Matzingen PSG,weiblich,Schweiz,13
2007/2008,Kindergartenstufe,Müllheim PSG,männlich,Ausland,3
2007/2008,Kindergartenstufe,Müllheim PSG,männlich,Schweiz,26
2007/2008,Kindergartenstufe,Müllheim PSG,weiblich,Ausland,4
2007/2008,Kindergartenstufe,Müllheim PSG,weiblich,Schweiz,24
2007/2008,Kindergartenstufe,Münchwilen VSG,männlich,Ausland,12
2007/2008,Kindergartenstufe,Münchwilen VSG,männlich,Schweiz,42
2007/2008,Kindergartenstufe,Münchwilen VSG,weiblich,Ausland,6
2007/2008,Kindergartenstufe,Münchwilen VSG,weiblich,Schweiz,42
2007/2008,Kindergartenstufe,Münsterlingen PSG,männlich,Ausland,4
