Schuljahr,Stufe,Schulgemeinde,Geschlecht,Nationalitaet,Anzahl
2014/2015,Primar Mittelstufe,Nollen VSG,männlich,Ausland,4
2014/2015,Primar Mittelstufe,Nollen VSG,männlich,Schweiz,57
2014/2015,Primar Mittelstufe,Nollen VSG,weiblich,Ausland,9
2014/2015,Primar Mittelstufe,Nollen VSG,weiblich,Schweiz,50
2014/2015,Primar Mittelstufe,Nussbaumen PSG,männlich,Schweiz,7
2014/2015,Primar Mittelstufe,Nussbaumen PSG,weiblich,Ausland,1
2014/2015,Primar Mittelstufe,Nussbaumen PSG,weiblich,Schweiz,9
2014/2015,Primar Mittelstufe,Oberhofen-Lengwil PSG,männlich,Ausland,7
2014/2015,Primar Mittelstufe,Oberhofen-Lengwil PSG,männlich,Schweiz,17
2014/2015,Primar Mittelstufe,Oberhofen-Lengwil PSG,weiblich,Ausland,4
2014/2015,Primar Mittelstufe,Oberhofen-Lengwil PSG,weiblich,Schweiz,15
2014/2015,Primar Mittelstufe,Ottoberg PSG,männlich,Schweiz,6
2014/2015,Primar Mittelstufe,Ottoberg PSG,weiblich,Schweiz,17
2014/2015,Primar Mittelstufe,Pfyn PSG,männlich,Ausland,6
2014/2015,Primar Mittelstufe,Pfyn PSG,männlich,Schweiz,18
2014/2015,Primar Mittelstufe,Pfyn PSG,weiblich,Ausland,3
2014/2015,Primar Mittelstufe,Pfyn PSG,weiblich,Schweiz,30
2014/2015,Primar Mittelstufe,Regio Märwil PSG,männlich,Ausland,2
2014/2015,Primar Mittelstufe,Regio Märwil PSG,männlich,Schweiz,26
2014/2015,Primar Mittelstufe,Regio Märwil PSG,weiblich,Ausland,1
2014/2015,Primar Mittelstufe,Regio Märwil PSG,weiblich,Schweiz,27
2014/2015,Primar Mittelstufe,Rickenbach PSG,männlich,Ausland,14
2014/2015,Primar Mittelstufe,Rickenbach PSG,männlich,Schweiz,17
2014/2015,Primar Mittelstufe,Rickenbach PSG,weiblich,Ausland,19
2014/2015,Primar Mittelstufe,Rickenbach PSG,weiblich,Schweiz,21
2014/2015,Primar Mittelstufe,Roggwil PSG,männlich,Ausland,2
2014/2015,Primar Mittelstufe,Roggwil PSG,männlich,Schweiz,24
2014/2015,Primar Mittelstufe,Roggwil PSG,weiblich,Schweiz,27
2014/2015,Primar Mittelstufe,Romanshorn PSG,männlich,Ausland,63
2014/2015,Primar Mittelstufe,Romanshorn PSG,männlich,Schweiz,94
2014/2015,Primar Mittelstufe,Romanshorn PSG,weiblich,Ausland,69
2014/2015,Primar Mittelstufe,Romanshorn PSG,weiblich,Schweiz,78
2014/2015,Primar Mittelstufe,Salenstein PG,männlich,Ausland,3
2014/2015,Primar Mittelstufe,Salenstein PG,männlich,Schweiz,9
2014/2015,Primar Mittelstufe,Salenstein PG,weiblich,Ausland,2
2014/2015,Primar Mittelstufe,Salenstein PG,weiblich,Schweiz,11
2014/2015,Primar Mittelstufe,Salmsach PG,männlich,Ausland,4
2014/2015,Primar Mittelstufe,Salmsach PG,männlich,Schweiz,18
2014/2015,Primar Mittelstufe,Salmsach PG,weiblich,Ausland,7
2014/2015,Primar Mittelstufe,Salmsach PG,weiblich,Schweiz,11
2014/2015,Primar Mittelstufe,Schönenberg-Kradolf PSG,männlich,Ausland,5
2014/2015,Primar Mittelstufe,Schönenberg-Kradolf PSG,männlich,Schweiz,23
2014/2015,Primar Mittelstufe,Schönenberg-Kradolf PSG,weiblich,Ausland,9
2014/2015,Primar Mittelstufe,Schönenberg-Kradolf PSG,weiblich,Schweiz,28
2014/2015,Primar Mittelstufe,Sirnach VSG,männlich,Ausland,33
2014/2015,Primar Mittelstufe,Sirnach VSG,männlich,Schweiz,88
2014/2015,Primar Mittelstufe,Sirnach VSG,weiblich,Ausland,32
2014/2015,Primar Mittelstufe,Sirnach VSG,weiblich,Schweiz,85
2014/2015,Primar Mittelstufe,Stachen PSG,männlich,Ausland,2
2014/2015,Primar Mittelstufe,Stachen PSG,männlich,Schweiz,13
2014/2015,Primar Mittelstufe,Stachen PSG,weiblich,Schweiz,11
2014/2015,Primar Mittelstufe,Steckborn PSG,männlich,Ausland,11
2014/2015,Primar Mittelstufe,Steckborn PSG,männlich,Schweiz,47
2014/2015,Primar Mittelstufe,Steckborn PSG,weiblich,Ausland,12
2014/2015,Primar Mittelstufe,Steckborn PSG,weiblich,Schweiz,26
2014/2015,Primar Mittelstufe,Stettfurt PSG,männlich,Schweiz,22
2014/2015,Primar Mittelstufe,Stettfurt PSG,weiblich,Schweiz,30
2014/2015,Primar Mittelstufe,Sulgen PSG,männlich,Ausland,17
2014/2015,Primar Mittelstufe,Sulgen PSG,männlich,Schweiz,38
2014/2015,Primar Mittelstufe,Sulgen PSG,weiblich,Ausland,27
2014/2015,Primar Mittelstufe,Sulgen PSG,weiblich,Schweiz,35
2014/2015,Primar Mittelstufe,Tägerwilen VSG,männlich,Ausland,19
2014/2015,Primar Mittelstufe,Tägerwilen VSG,männlich,Schweiz,46
2014/2015,Primar Mittelstufe,Tägerwilen VSG,weiblich,Ausland,31
2014/2015,Primar Mittelstufe,Tägerwilen VSG,weiblich,Schweiz,45
2014/2015,Primar Mittelstufe,Thundorf PSG,männlich,Ausland,2
2014/2015,Primar Mittelstufe,Thundorf PSG,männlich,Schweiz,20
2014/2015,Primar Mittelstufe,Thundorf PSG,weiblich,Ausland,1
2014/2015,Primar Mittelstufe,Thundorf PSG,weiblich,Schweiz,20
2014/2015,Primar Mittelstufe,Tobel-Tägerschen PG,männlich,Ausland,3
2014/2015,Primar Mittelstufe,Tobel-Tägerschen PG,männlich,Schweiz,25
2014/2015,Primar Mittelstufe,Tobel-Tägerschen PG,weiblich,Schweiz,24
2014/2015,Primar Mittelstufe,Uesslingen-Buch PSG,männlich,Schweiz,13
2014/2015,Primar Mittelstufe,Uesslingen-Buch PSG,weiblich,Schweiz,18
2014/2015,Primar Mittelstufe,Uttwil PSG,männlich,Ausland,7
2014/2015,Primar Mittelstufe,Uttwil PSG,männlich,Schweiz,34
2014/2015,Primar Mittelstufe,Uttwil PSG,weiblich,Ausland,1
2014/2015,Primar Mittelstufe,Uttwil PSG,weiblich,Schweiz,25
2014/2015,Primar Mittelstufe,Wagenhausen-Kaltenbach PSG,männlich,Ausland,2
2014/2015,Primar Mittelstufe,Wagenhausen-Kaltenbach PSG,männlich,Schweiz,19
2014/2015,Primar Mittelstufe,Wagenhausen-Kaltenbach PSG,weiblich,Ausland,3
2014/2015,Primar Mittelstufe,Wagenhausen-Kaltenbach PSG,weiblich,Schweiz,17
2014/2015,Primar Mittelstufe,Wängi VSG,männlich,Ausland,24
2014/2015,Primar Mittelstufe,Wängi VSG,männlich,Schweiz,70
2014/2015,Primar Mittelstufe,Wängi VSG,weiblich,Ausland,10
2014/2015,Primar Mittelstufe,Wängi VSG,weiblich,Schweiz,62
2014/2015,Primar Mittelstufe,Warth-Weiningen PSG,männlich,Ausland,1
2014/2015,Primar Mittelstufe,Warth-Weiningen PSG,männlich,Schweiz,13
2014/2015,Primar Mittelstufe,Warth-Weiningen PSG,weiblich,Ausland,1
2014/2015,Primar Mittelstufe,Warth-Weiningen PSG,weiblich,Schweiz,15
2014/2015,Primar Mittelstufe,Weinfelden PSG,männlich,Ausland,38
2014/2015,Primar Mittelstufe,Weinfelden PSG,männlich,Schweiz,132
2014/2015,Primar Mittelstufe,Weinfelden PSG,weiblich,Ausland,50
2014/2015,Primar Mittelstufe,Weinfelden PSG,weiblich,Schweiz,83
2014/2015,Primar Mittelstufe,Wigoltingen VSG,männlich,Ausland,13
2014/2015,Primar Mittelstufe,Wigoltingen VSG,männlich,Schweiz,52
2014/2015,Primar Mittelstufe,Wigoltingen VSG,weiblich,Ausland,4
2014/2015,Primar Mittelstufe,Wigoltingen VSG,weiblich,Schweiz,34
2014/2015,Primar Mittelstufe,Wilen bei Wil PSG,männlich,Schweiz,45
2014/2015,Primar Mittelstufe,Wilen bei Wil PSG,weiblich,Ausland,4
2014/2015,Primar Mittelstufe,Wilen bei Wil PSG,weiblich,Schweiz,48
2014/2015,Primar Unterstufe,Aadorf VSG,männlich,Ausland,22
2014/2015,Primar Unterstufe,Aadorf VSG,männlich,Schweiz,104
2014/2015,Primar Unterstufe,Aadorf VSG,weiblich,Ausland,19
2014/2015,Primar Unterstufe,Aadorf VSG,weiblich,Schweiz,119
2014/2015,Primar Unterstufe,Altnau PSG,männlich,Ausland,9
2014/2015,Primar Unterstufe,Altnau PSG,männlich,Schweiz,32
2014/2015,Primar Unterstufe,Altnau PSG,weiblich,Ausland,5
2014/2015,Primar Unterstufe,Altnau PSG,weiblich,Schweiz,32
2014/2015,Primar Unterstufe,Amlikon Holzhäusern PSG,männlich,Ausland,2
2014/2015,Primar Unterstufe,Amlikon Holzhäusern PSG,männlich,Schweiz,20
2014/2015,Primar Unterstufe,Amlikon Holzhäusern PSG,weiblich,Schweiz,13
2014/2015,Primar Unterstufe,Amriswil VSG,männlich,Ausland,75
2014/2015,Primar Unterstufe,Amriswil VSG,männlich,Schweiz,132
2014/2015,Primar Unterstufe,Amriswil VSG,weiblich,Ausland,68
2014/2015,Primar Unterstufe,Amriswil VSG,weiblich,Schweiz,140
2014/2015,Primar Unterstufe,Arbon PSG,männlich,Ausland,67
2014/2015,Primar Unterstufe,Arbon PSG,männlich,Schweiz,104
2014/2015,Primar Unterstufe,Arbon PSG,weiblich,Ausland,60
2014/2015,Primar Unterstufe,Arbon PSG,weiblich,Schweiz,92
2014/2015,Primar Unterstufe,Berg-Birwinken VSG,männlich,Ausland,7
2014/2015,Primar Unterstufe,Berg-Birwinken VSG,männlich,Schweiz,64
2014/2015,Primar Unterstufe,Berg-Birwinken VSG,weiblich,Ausland,5
2014/2015,Primar Unterstufe,Berg-Birwinken VSG,weiblich,Schweiz,55
2014/2015,Primar Unterstufe,Berlingen PG,männlich,Ausland,2
2014/2015,Primar Unterstufe,Berlingen PG,männlich,Schweiz,7
2014/2015,Primar Unterstufe,Berlingen PG,weiblich,Schweiz,11
2014/2015,Primar Unterstufe,Bettwiesen PSG,männlich,Ausland,2
2014/2015,Primar Unterstufe,Bettwiesen PSG,männlich,Schweiz,10
2014/2015,Primar Unterstufe,Bettwiesen PSG,weiblich,Ausland,1
2014/2015,Primar Unterstufe,Bettwiesen PSG,weiblich,Schweiz,13
2014/2015,Primar Unterstufe,Bichelsee-Balterswil VSG,männlich,Ausland,5
2014/2015,Primar Unterstufe,Bichelsee-Balterswil VSG,männlich,Schweiz,47
2014/2015,Primar Unterstufe,Bichelsee-Balterswil VSG,weiblich,Ausland,8
2014/2015,Primar Unterstufe,Bichelsee-Balterswil VSG,weiblich,Schweiz,32
2014/2015,Primar Unterstufe,Bischofszell VSG,männlich,Ausland,28
2014/2015,Primar Unterstufe,Bischofszell VSG,männlich,Schweiz,143
2014/2015,Primar Unterstufe,Bischofszell VSG,weiblich,Ausland,31
2014/2015,Primar Unterstufe,Bischofszell VSG,weiblich,Schweiz,114
2014/2015,Primar Unterstufe,Bottighofen PSG,männlich,Ausland,8
2014/2015,Primar Unterstufe,Bottighofen PSG,männlich,Schweiz,11
2014/2015,Primar Unterstufe,Bottighofen PSG,weiblich,Ausland,4
2014/2015,Primar Unterstufe,Bottighofen PSG,weiblich,Schweiz,26
2014/2015,Primar Unterstufe,Braunau PSG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Braunau PSG,männlich,Schweiz,18
2014/2015,Primar Unterstufe,Braunau PSG,weiblich,Schweiz,12
2014/2015,Primar Unterstufe,Bürglen VSG,männlich,Ausland,17
2014/2015,Primar Unterstufe,Bürglen VSG,männlich,Schweiz,29
2014/2015,Primar Unterstufe,Bürglen VSG,weiblich,Ausland,17
2014/2015,Primar Unterstufe,Bürglen VSG,weiblich,Schweiz,23
2014/2015,Primar Unterstufe,Bussnang-Rothenhausen PSG,männlich,Ausland,2
2014/2015,Primar Unterstufe,Bussnang-Rothenhausen PSG,männlich,Schweiz,12
2014/2015,Primar Unterstufe,Bussnang-Rothenhausen PSG,weiblich,Ausland,3
2014/2015,Primar Unterstufe,Bussnang-Rothenhausen PSG,weiblich,Schweiz,11
2014/2015,Primar Unterstufe,Diessenhofen VSG,männlich,Ausland,33
2014/2015,Primar Unterstufe,Diessenhofen VSG,männlich,Schweiz,81
2014/2015,Primar Unterstufe,Diessenhofen VSG,weiblich,Ausland,39
2014/2015,Primar Unterstufe,Diessenhofen VSG,weiblich,Schweiz,80
2014/2015,Primar Unterstufe,Dozwil-Kesswil PSG,männlich,Ausland,6
2014/2015,Primar Unterstufe,Dozwil-Kesswil PSG,männlich,Schweiz,29
2014/2015,Primar Unterstufe,Dozwil-Kesswil PSG,weiblich,Ausland,6
2014/2015,Primar Unterstufe,Dozwil-Kesswil PSG,weiblich,Schweiz,26
2014/2015,Primar Unterstufe,Egnach VSG,männlich,Ausland,9
2014/2015,Primar Unterstufe,Egnach VSG,männlich,Schweiz,69
2014/2015,Primar Unterstufe,Egnach VSG,weiblich,Ausland,6
2014/2015,Primar Unterstufe,Egnach VSG,weiblich,Schweiz,60
2014/2015,Primar Unterstufe,Erlen VSG,männlich,Ausland,19
2014/2015,Primar Unterstufe,Erlen VSG,männlich,Schweiz,58
2014/2015,Primar Unterstufe,Erlen VSG,weiblich,Ausland,16
2014/2015,Primar Unterstufe,Erlen VSG,weiblich,Schweiz,47
2014/2015,Primar Unterstufe,Ermatingen PSG,männlich,Ausland,14
2014/2015,Primar Unterstufe,Ermatingen PSG,männlich,Schweiz,39
2014/2015,Primar Unterstufe,Ermatingen PSG,weiblich,Ausland,13
2014/2015,Primar Unterstufe,Ermatingen PSG,weiblich,Schweiz,34
2014/2015,Primar Unterstufe,Eschenz PSG,männlich,Ausland,5
2014/2015,Primar Unterstufe,Eschenz PSG,männlich,Schweiz,23
2014/2015,Primar Unterstufe,Eschenz PSG,weiblich,Ausland,2
2014/2015,Primar Unterstufe,Eschenz PSG,weiblich,Schweiz,23
2014/2015,Primar Unterstufe,Eschlikon VSG,männlich,Ausland,10
2014/2015,Primar Unterstufe,Eschlikon VSG,männlich,Schweiz,70
2014/2015,Primar Unterstufe,Eschlikon VSG,weiblich,Ausland,9
2014/2015,Primar Unterstufe,Eschlikon VSG,weiblich,Schweiz,47
2014/2015,Primar Unterstufe,Felben-Wellhausen PSG,männlich,Ausland,7
2014/2015,Primar Unterstufe,Felben-Wellhausen PSG,männlich,Schweiz,45
2014/2015,Primar Unterstufe,Felben-Wellhausen PSG,weiblich,Ausland,10
2014/2015,Primar Unterstufe,Felben-Wellhausen PSG,weiblich,Schweiz,33
2014/2015,Primar Unterstufe,Fischingen VSG,männlich,Ausland,5
2014/2015,Primar Unterstufe,Fischingen VSG,männlich,Schweiz,38
2014/2015,Primar Unterstufe,Fischingen VSG,weiblich,Ausland,1
2014/2015,Primar Unterstufe,Fischingen VSG,weiblich,Schweiz,23
2014/2015,Primar Unterstufe,Frasnacht PSG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Frasnacht PSG,männlich,Schweiz,13
2014/2015,Primar Unterstufe,Frasnacht PSG,weiblich,Ausland,1
2014/2015,Primar Unterstufe,Frasnacht PSG,weiblich,Schweiz,13
2014/2015,Primar Unterstufe,Frauenfeld PSG,männlich,Ausland,82
2014/2015,Primar Unterstufe,Frauenfeld PSG,männlich,Schweiz,277
2014/2015,Primar Unterstufe,Frauenfeld PSG,weiblich,Ausland,102
2014/2015,Primar Unterstufe,Frauenfeld PSG,weiblich,Schweiz,268
2014/2015,Primar Unterstufe,Freidorf-Watt PSG,männlich,Ausland,2
2014/2015,Primar Unterstufe,Freidorf-Watt PSG,männlich,Schweiz,28
2014/2015,Primar Unterstufe,Freidorf-Watt PSG,weiblich,Schweiz,22
2014/2015,Primar Unterstufe,Gachnang PSG,männlich,Ausland,6
2014/2015,Primar Unterstufe,Gachnang PSG,männlich,Schweiz,49
2014/2015,Primar Unterstufe,Gachnang PSG,weiblich,Ausland,6
2014/2015,Primar Unterstufe,Gachnang PSG,weiblich,Schweiz,51
2014/2015,Primar Unterstufe,Götighofen PSG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Götighofen PSG,männlich,Schweiz,9
2014/2015,Primar Unterstufe,Götighofen PSG,weiblich,Ausland,2
2014/2015,Primar Unterstufe,Götighofen PSG,weiblich,Schweiz,4
2014/2015,Primar Unterstufe,Güttingen PSG,männlich,Ausland,4
2014/2015,Primar Unterstufe,Güttingen PSG,männlich,Schweiz,22
2014/2015,Primar Unterstufe,Güttingen PSG,weiblich,Ausland,4
2014/2015,Primar Unterstufe,Güttingen PSG,weiblich,Schweiz,21
2014/2015,Primar Unterstufe,Herdern-Dettighofen PSG,männlich,Schweiz,19
2014/2015,Primar Unterstufe,Herdern-Dettighofen PSG,weiblich,Ausland,1
2014/2015,Primar Unterstufe,Herdern-Dettighofen PSG,weiblich,Schweiz,24
2014/2015,Primar Unterstufe,Homburg PSG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Homburg PSG,männlich,Schweiz,19
2014/2015,Primar Unterstufe,Homburg PSG,weiblich,Ausland,1
2014/2015,Primar Unterstufe,Homburg PSG,weiblich,Schweiz,27
2014/2015,Primar Unterstufe,Horn VSG,männlich,Ausland,6
2014/2015,Primar Unterstufe,Horn VSG,männlich,Schweiz,33
2014/2015,Primar Unterstufe,Horn VSG,weiblich,Ausland,3
2014/2015,Primar Unterstufe,Horn VSG,weiblich,Schweiz,34
2014/2015,Primar Unterstufe,Hüttlingen PSG,männlich,Schweiz,16
2014/2015,Primar Unterstufe,Hüttlingen PSG,weiblich,Schweiz,11
2014/2015,Primar Unterstufe,Hüttwilen PSG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Hüttwilen PSG,männlich,Schweiz,22
2014/2015,Primar Unterstufe,Hüttwilen PSG,weiblich,Schweiz,21
2014/2015,Primar Unterstufe,Kemmental VSG,männlich,Ausland,7
2014/2015,Primar Unterstufe,Kemmental VSG,männlich,Schweiz,33
2014/2015,Primar Unterstufe,Kemmental VSG,weiblich,Ausland,4
2014/2015,Primar Unterstufe,Kemmental VSG,weiblich,Schweiz,36
2014/2015,Primar Unterstufe,Kreuzlingen PSG,männlich,Ausland,121
2014/2015,Primar Unterstufe,Kreuzlingen PSG,männlich,Schweiz,103
2014/2015,Primar Unterstufe,Kreuzlingen PSG,weiblich,Ausland,142
2014/2015,Primar Unterstufe,Kreuzlingen PSG,weiblich,Schweiz,93
2014/2015,Primar Unterstufe,Kt. St. Gallen,weiblich,Schweiz,4
2014/2015,Primar Unterstufe,Kt. Zürich,weiblich,Schweiz,1
2014/2015,Primar Unterstufe,Langrickenbach PSG,männlich,Ausland,4
2014/2015,Primar Unterstufe,Langrickenbach PSG,männlich,Schweiz,29
2014/2015,Primar Unterstufe,Langrickenbach PSG,weiblich,Ausland,3
2014/2015,Primar Unterstufe,Langrickenbach PSG,weiblich,Schweiz,16
2014/2015,Primar Unterstufe,Lauchetal PSG,männlich,Ausland,3
2014/2015,Primar Unterstufe,Lauchetal PSG,männlich,Schweiz,22
2014/2015,Primar Unterstufe,Lauchetal PSG,weiblich,Ausland,8
2014/2015,Primar Unterstufe,Lauchetal PSG,weiblich,Schweiz,19
2014/2015,Primar Unterstufe,Lommis PSG,männlich,Ausland,2
2014/2015,Primar Unterstufe,Lommis PSG,männlich,Schweiz,13
2014/2015,Primar Unterstufe,Lommis PSG,weiblich,Ausland,2
2014/2015,Primar Unterstufe,Lommis PSG,weiblich,Schweiz,14
2014/2015,Primar Unterstufe,Mammern PG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Mammern PG,männlich,Schweiz,11
2014/2015,Primar Unterstufe,Mammern PG,weiblich,Ausland,3
2014/2015,Primar Unterstufe,Mammern PG,weiblich,Schweiz,10
2014/2015,Primar Unterstufe,Märstetten PSG,männlich,Ausland,3
2014/2015,Primar Unterstufe,Märstetten PSG,männlich,Schweiz,27
2014/2015,Primar Unterstufe,Märstetten PSG,weiblich,Ausland,6
2014/2015,Primar Unterstufe,Märstetten PSG,weiblich,Schweiz,31
2014/2015,Primar Unterstufe,Matzingen PSG,männlich,Ausland,13
2014/2015,Primar Unterstufe,Matzingen PSG,männlich,Schweiz,20
2014/2015,Primar Unterstufe,Matzingen PSG,weiblich,Ausland,21
2014/2015,Primar Unterstufe,Matzingen PSG,weiblich,Schweiz,33
2014/2015,Primar Unterstufe,Müllheim PSG,männlich,Ausland,5
2014/2015,Primar Unterstufe,Müllheim PSG,männlich,Schweiz,45
2014/2015,Primar Unterstufe,Müllheim PSG,weiblich,Ausland,11
2014/2015,Primar Unterstufe,Müllheim PSG,weiblich,Schweiz,45
2014/2015,Primar Unterstufe,Münchwilen VSG,männlich,Ausland,17
2014/2015,Primar Unterstufe,Münchwilen VSG,männlich,Schweiz,71
2014/2015,Primar Unterstufe,Münchwilen VSG,weiblich,Ausland,15
2014/2015,Primar Unterstufe,Münchwilen VSG,weiblich,Schweiz,74
2014/2015,Primar Unterstufe,Münsterlingen PSG,männlich,Ausland,25
2014/2015,Primar Unterstufe,Münsterlingen PSG,männlich,Schweiz,23
2014/2015,Primar Unterstufe,Münsterlingen PSG,weiblich,Ausland,18
2014/2015,Primar Unterstufe,Münsterlingen PSG,weiblich,Schweiz,26
2014/2015,Primar Unterstufe,Neunforn PSG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Neunforn PSG,männlich,Schweiz,7
2014/2015,Primar Unterstufe,Neunforn PSG,weiblich,Ausland,2
2014/2015,Primar Unterstufe,Neunforn PSG,weiblich,Schweiz,13
2014/2015,Primar Unterstufe,Nollen VSG,männlich,Ausland,3
2014/2015,Primar Unterstufe,Nollen VSG,männlich,Schweiz,57
2014/2015,Primar Unterstufe,Nollen VSG,weiblich,Schweiz,53
2014/2015,Primar Unterstufe,Nussbaumen PSG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Nussbaumen PSG,männlich,Schweiz,6
2014/2015,Primar Unterstufe,Nussbaumen PSG,weiblich,Ausland,1
2014/2015,Primar Unterstufe,Nussbaumen PSG,weiblich,Schweiz,11
2014/2015,Primar Unterstufe,Oberhofen-Lengwil PSG,männlich,Ausland,4
2014/2015,Primar Unterstufe,Oberhofen-Lengwil PSG,männlich,Schweiz,18
2014/2015,Primar Unterstufe,Oberhofen-Lengwil PSG,weiblich,Ausland,4
2014/2015,Primar Unterstufe,Oberhofen-Lengwil PSG,weiblich,Schweiz,19
2014/2015,Primar Unterstufe,Ottoberg PSG,männlich,Schweiz,11
2014/2015,Primar Unterstufe,Ottoberg PSG,weiblich,Schweiz,15
2014/2015,Primar Unterstufe,Pfyn PSG,männlich,Ausland,3
2014/2015,Primar Unterstufe,Pfyn PSG,männlich,Schweiz,31
2014/2015,Primar Unterstufe,Pfyn PSG,weiblich,Ausland,6
2014/2015,Primar Unterstufe,Pfyn PSG,weiblich,Schweiz,31
2014/2015,Primar Unterstufe,Regio Märwil PSG,männlich,Ausland,3
2014/2015,Primar Unterstufe,Regio Märwil PSG,männlich,Schweiz,34
2014/2015,Primar Unterstufe,Regio Märwil PSG,weiblich,Schweiz,33
2014/2015,Primar Unterstufe,Rickenbach PSG,männlich,Ausland,16
2014/2015,Primar Unterstufe,Rickenbach PSG,männlich,Schweiz,18
2014/2015,Primar Unterstufe,Rickenbach PSG,weiblich,Ausland,15
2014/2015,Primar Unterstufe,Rickenbach PSG,weiblich,Schweiz,27
2014/2015,Primar Unterstufe,Roggwil PSG,männlich,Schweiz,27
2014/2015,Primar Unterstufe,Roggwil PSG,weiblich,Ausland,1
2014/2015,Primar Unterstufe,Roggwil PSG,weiblich,Schweiz,20
2014/2015,Primar Unterstufe,Romanshorn PSG,männlich,Ausland,71
2014/2015,Primar Unterstufe,Romanshorn PSG,männlich,Schweiz,82
2014/2015,Primar Unterstufe,Romanshorn PSG,weiblich,Ausland,64
2014/2015,Primar Unterstufe,Romanshorn PSG,weiblich,Schweiz,72
2014/2015,Primar Unterstufe,Salenstein PG,männlich,Ausland,4
2014/2015,Primar Unterstufe,Salenstein PG,männlich,Schweiz,15
2014/2015,Primar Unterstufe,Salenstein PG,weiblich,Ausland,3
2014/2015,Primar Unterstufe,Salenstein PG,weiblich,Schweiz,12
2014/2015,Primar Unterstufe,Salmsach PG,männlich,Ausland,8
2014/2015,Primar Unterstufe,Salmsach PG,männlich,Schweiz,11
2014/2015,Primar Unterstufe,Salmsach PG,weiblich,Ausland,8
2014/2015,Primar Unterstufe,Salmsach PG,weiblich,Schweiz,10
2014/2015,Primar Unterstufe,Schönenberg-Kradolf PSG,männlich,Ausland,13
2014/2015,Primar Unterstufe,Schönenberg-Kradolf PSG,männlich,Schweiz,21
2014/2015,Primar Unterstufe,Schönenberg-Kradolf PSG,weiblich,Ausland,9
2014/2015,Primar Unterstufe,Schönenberg-Kradolf PSG,weiblich,Schweiz,20
2014/2015,Primar Unterstufe,Sirnach VSG,männlich,Ausland,34
2014/2015,Primar Unterstufe,Sirnach VSG,männlich,Schweiz,93
2014/2015,Primar Unterstufe,Sirnach VSG,weiblich,Ausland,33
2014/2015,Primar Unterstufe,Sirnach VSG,weiblich,Schweiz,99
2014/2015,Primar Unterstufe,Stachen PSG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Stachen PSG,männlich,Schweiz,9
2014/2015,Primar Unterstufe,Stachen PSG,weiblich,Ausland,3
2014/2015,Primar Unterstufe,Stachen PSG,weiblich,Schweiz,11
2014/2015,Primar Unterstufe,Steckborn PSG,männlich,Ausland,18
2014/2015,Primar Unterstufe,Steckborn PSG,männlich,Schweiz,36
2014/2015,Primar Unterstufe,Steckborn PSG,weiblich,Ausland,16
2014/2015,Primar Unterstufe,Steckborn PSG,weiblich,Schweiz,35
2014/2015,Primar Unterstufe,Stettfurt PSG,männlich,Ausland,2
2014/2015,Primar Unterstufe,Stettfurt PSG,männlich,Schweiz,13
2014/2015,Primar Unterstufe,Stettfurt PSG,weiblich,Ausland,1
2014/2015,Primar Unterstufe,Stettfurt PSG,weiblich,Schweiz,28
2014/2015,Primar Unterstufe,Sulgen PSG,männlich,Ausland,20
2014/2015,Primar Unterstufe,Sulgen PSG,männlich,Schweiz,34
2014/2015,Primar Unterstufe,Sulgen PSG,weiblich,Ausland,17
2014/2015,Primar Unterstufe,Sulgen PSG,weiblich,Schweiz,31
2014/2015,Primar Unterstufe,Tägerwilen VSG,männlich,Ausland,31
2014/2015,Primar Unterstufe,Tägerwilen VSG,männlich,Schweiz,36
2014/2015,Primar Unterstufe,Tägerwilen VSG,weiblich,Ausland,24
2014/2015,Primar Unterstufe,Tägerwilen VSG,weiblich,Schweiz,61
2014/2015,Primar Unterstufe,Thundorf PSG,männlich,Ausland,1
2014/2015,Primar Unterstufe,Thundorf PSG,männlich,Schweiz,19
2014/2015,Primar Unterstufe,Thundorf PSG,weiblich,Ausland,4
2014/2015,Primar Unterstufe,Thundorf PSG,weiblich,Schweiz,20
2014/2015,Primar Unterstufe,Tobel-Tägerschen PG,männlich,Ausland,5
2014/2015,Primar Unterstufe,Tobel-Tägerschen PG,männlich,Schweiz,22
2014/2015,Primar Unterstufe,Tobel-Tägerschen PG,weiblich,Ausland,4
2014/2015,Primar Unterstufe,Tobel-Tägerschen PG,weiblich,Schweiz,23
2014/2015,Primar Unterstufe,Uesslingen-Buch PSG,männlich,Schweiz,13
2014/2015,Primar Unterstufe,Uesslingen-Buch PSG,weiblich,Schweiz,20
2014/2015,Primar Unterstufe,Uttwil PSG,männlich,Ausland,5
2014/2015,Primar Unterstufe,Uttwil PSG,männlich,Schweiz,22
2014/2015,Primar Unterstufe,Uttwil PSG,weiblich,Ausland,5
2014/2015,Primar Unterstufe,Uttwil PSG,weiblich,Schweiz,20
